ID,geneName
1,YAL002W
2,YAL004W
3,YAL005C
4,YAL007C
5,YAL008W
6,YAL009W
7,YAL010C
8,YAL011W
9,YAL013W
10,YAL014C
11,YAL015C
12,YAL016C-B
13,YAL016W
14,YAL017W
15,YAL018C
16,YAL019W
17,YAL020C
18,YAL021C
19,YAL022C
20,YAL023C
21,YAL024C
22,YAL026C
23,YAL027W
24,YAL028W
25,YAL029C
26,YAL030W
27,YAL031C
28,YAL034C
29,YAL035W
30,YAL036C
31,YAL037C-A
32,YAL037W
33,YAL039C
34,YAL040C
35,YAL042W
36,YAL044C
37,YAL044W-A
38,YAL045C
39,YAL046C
40,YAL047C
41,YAL048C
42,YAL049C
43,YAL051W
44,YAL053W
45,YAL054C
46,YAL055W
47,YAL056W
48,YAL058C-A
49,YAL058W
50,YAL059W
51,YAL060W
52,YAL061W
53,YAL062W
54,YAL064C-A
55,YAL065C
56,YAL066W
57,YAL067C
58,YAL067W-A
59,YAL068C
60,YAR002C-A
61,YAR002W
62,YAR003W
63,YAR014C
64,YAR018C
65,YAR020C
66,YAR023C
67,YAR027W
68,YAR028W
69,YAR029W
70,YAR030C
71,YAR031W
72,YAR035C-A
73,YAR035W
74,YAR037W
75,YAR040C
76,YAR042W
77,YAR043C
78,YAR044W
79,YAR047C
80,YAR050W
81,YBL001C
82,YBL002W
83,YBL003C
84,YBL005W
85,YBL006C
86,YBL007C
87,YBL008W
88,YBL008W-A
89,YBL009W
90,YBL010C
91,YBL011W
92,YBL012C
93,YBL013W
94,YBL015W
95,YBL016W
96,YBL017C
97,YBL019W
98,YBL021C
99,YBL022C
100,YBL024W
101,YBL025W
102,YBL027W
103,YBL028C
104,YBL029C-A
105,YBL029W
106,YBL031W
107,YBL032W
108,YBL033C
109,YBL036C
110,YBL037W
111,YBL038W
112,YBL039C
113,YBL039W-A
114,YBL042C
115,YBL043W
116,YBL044W
117,YBL045C
118,YBL046W
119,YBL047C
120,YBL048W
121,YBL049W
122,YBL051C
123,YBL052C
124,YBL053W
125,YBL054W
126,YBL055C
127,YBL056W
128,YBL057C
129,YBL058W
130,YBL059W
131,YBL060W
132,YBL061C
133,YBL062W
134,YBL063W
135,YBL064C
136,YBL065W
137,YBL066C
138,YBL067C
139,YBL068W
140,YBL069W
141,YBL070C
142,YBL071C
143,YBL071C-B
144,YBL071W-A
145,YBL072C
146,YBL075C
147,YBL078C
148,YBL079W
149,YBL080C
150,YBL081W
151,YBL082C
152,YBL083C
153,YBL085W
154,YBL086C
155,YBL087C
156,YBL088C
157,YBL089W
158,YBL090W
159,YBL091C
160,YBL091C-A
161,YBL093C
162,YBL094C
163,YBL095W
164,YBL096C
165,YBL098W
166,YBL099W
167,YBL100C
168,YBL101C
169,YBL101W-C
170,YBL102W
171,YBL103C
172,YBL104C
173,YBL106C
174,YBL107C
175,YBR001C
176,YBR003W
177,YBR005W
178,YBR006W
179,YBR007C
180,YBR008C
181,YBR009C
182,YBR010W
183,YBR012C
184,YBR013C
185,YBR014C
186,YBR015C
187,YBR016W
188,YBR018C
189,YBR019C
190,YBR020W
191,YBR021W
192,YBR022W
193,YBR023C
194,YBR024W
195,YBR025C
196,YBR026C
197,YBR027C
198,YBR028C
199,YBR030W
200,YBR031W
201,YBR032W
202,YBR033W
203,YBR034C
204,YBR035C
205,YBR036C
206,YBR037C
207,YBR040W
208,YBR041W
209,YBR042C
210,YBR043C
211,YBR044C
212,YBR045C
213,YBR046C
214,YBR047W
215,YBR048W
216,YBR050C
217,YBR051W
218,YBR052C
219,YBR053C
220,YBR054W
221,YBR056W
222,YBR056W-A
223,YBR057C
224,YBR058C
225,YBR058C-A
226,YBR059C
227,YBR061C
228,YBR062C
229,YBR063C
230,YBR064W
231,YBR065C
232,YBR066C
233,YBR067C
234,YBR068C
235,YBR069C
236,YBR071W
237,YBR072C-A
238,YBR072W
239,YBR073W
240,YBR074W
241,YBR076W
242,YBR077C
243,YBR078W
244,YBR081C
245,YBR082C
246,YBR083W
247,YBR084C-A
248,YBR084W
249,YBR085C-A
250,YBR085W
251,YBR090C
252,YBR090C-A
253,YBR092C
254,YBR093C
255,YBR094W
256,YBR095C
257,YBR097W
258,YBR098W
259,YBR099C
260,YBR100W
261,YBR101C
262,YBR103W
263,YBR104W
264,YBR105C
265,YBR106W
266,YBR107C
267,YBR108W
268,YBR111C
269,YBR111W-A
270,YBR112C
271,YBR113W
272,YBR114W
273,YBR115C
274,YBR116C
275,YBR119W
276,YBR120C
277,YBR121C
278,YBR122C
279,YBR125C
280,YBR126C
281,YBR127C
282,YBR128C
283,YBR129C
284,YBR130C
285,YBR131W
286,YBR132C
287,YBR133C
288,YBR134W
289,YBR137W
290,YBR138C
291,YBR139W
292,YBR141C
293,YBR144C
294,YBR145W
295,YBR146W
296,YBR147W
297,YBR148W
298,YBR149W
299,YBR150C
300,YBR151W
301,YBR156C
302,YBR157C
303,YBR158W
304,YBR159W
305,YBR161W
306,YBR162C
307,YBR162W-A
308,YBR163W
309,YBR164C
310,YBR165W
311,YBR166C
312,YBR168W
313,YBR169C
314,YBR170C
315,YBR171W
316,YBR172C
317,YBR173C
318,YBR174C
319,YBR175W
320,YBR176W
321,YBR177C
322,YBR178W
323,YBR179C
324,YBR180W
325,YBR181C
326,YBR182C
327,YBR182C-A
328,YBR183W
329,YBR184W
330,YBR185C
331,YBR186W
332,YBR187W
333,YBR188C
334,YBR189W
335,YBR191W
336,YBR194W
337,YBR195C
338,YBR196C-A
339,YBR196C-B
340,YBR197C
341,YBR199W
342,YBR200W
343,YBR200W-A
344,YBR201W
345,YBR203W
346,YBR204C
347,YBR205W
348,YBR206W
349,YBR208C
350,YBR209W
351,YBR210W
352,YBR212W
353,YBR213W
354,YBR214W
355,YBR215W
356,YBR216C
357,YBR217W
358,YBR218C
359,YBR219C
360,YBR220C
361,YBR221C
362,YBR221W-A
363,YBR222C
364,YBR223C
365,YBR224W
366,YBR225W
367,YBR226C
368,YBR227C
369,YBR228W
370,YBR229C
371,YBR230C
372,YBR230W-A
373,YBR231C
374,YBR232C
375,YBR233W
376,YBR235W
377,YBR238C
378,YBR239C
379,YBR240C
380,YBR241C
381,YBR242W
382,YBR244W
383,YBR245C
384,YBR246W
385,YBR248C
386,YBR249C
387,YBR250W
388,YBR251W
389,YBR255W
390,YBR258C
391,YBR259W
392,YBR260C
393,YBR261C
394,YBR262C
395,YBR263W
396,YBR264C
397,YBR266C
398,YBR267W
399,YBR268W
400,YBR269C
401,YBR270C
402,YBR271W
403,YBR272C
404,YBR273C
405,YBR274W
406,YBR275C
407,YBR276C
408,YBR277C
409,YBR278W
410,YBR279W
411,YBR280C
412,YBR281C
413,YBR282W
414,YBR283C
415,YBR284W
416,YBR285W
417,YBR286W
418,YBR287W
419,YBR288C
420,YBR289W
421,YBR290W
422,YBR291C
423,YBR292C
424,YBR293W
425,YBR294W
426,YBR295W
427,YBR296C
428,YBR296C-A
429,YBR297W
430,YBR298C
431,YBR299W
432,YBR300C
433,YBR301W
434,YCL001W
435,YCL001W-A
436,YCL001W-B
437,YCL002C
438,YCL005W
439,YCL006C
440,YCL007C
441,YCL008C
442,YCL009C
443,YCL010C
444,YCL011C
445,YCL012C
446,YCL012W
447,YCL013W
448,YCL014W
449,YCL016C
450,YCL021W-A
451,YCL022C
452,YCL023C
453,YCL024W
454,YCL025C
455,YCL026C
456,YCL026C-A
457,YCL026C-B
458,YCL027W
459,YCL028W
460,YCL029C
461,YCL030C
462,YCL032W
463,YCL033C
464,YCL034W
465,YCL035C
466,YCL036W
467,YCL037C
468,YCL038C
469,YCL039W
470,YCL040W
471,YCL042W
472,YCL044C
473,YCL045C
474,YCL046W
475,YCL047C
476,YCL048W
477,YCL049C
478,YCL050C
479,YCL051W
480,YCL055W
481,YCL056C
482,YCL057C-A
483,YCL057W
484,YCL058C
485,YCL060C
486,YCL061C
487,YCL062W
488,YCL063W
489,YCL064C
490,YCL069W
491,YCL074W
492,YCL075W
493,YCL076W
494,YCR001W
495,YCR002C
496,YCR003W
497,YCR004C
498,YCR005C
499,YCR006C
500,YCR007C
501,YCR008W
502,YCR009C
503,YCR010C
504,YCR011C
505,YCR014C
506,YCR015C
507,YCR016W
508,YCR017C
509,YCR019W
510,YCR020C
511,YCR020C-A
512,YCR020W-B
513,YCR021C
514,YCR022C
515,YCR023C
516,YCR024C
517,YCR024C-A
518,YCR025C
519,YCR026C
520,YCR027C
521,YCR028C
522,YCR028C-A
523,YCR030C
524,YCR031C
525,YCR032W
526,YCR033W
527,YCR034W
528,YCR036W
529,YCR037C
530,YCR043C
531,YCR044C
532,YCR045C
533,YCR046C
534,YCR047C
535,YCR048W
536,YCR049C
537,YCR050C
538,YCR051W
539,YCR053W
540,YCR059C
541,YCR060W
542,YCR061W
543,YCR062W
544,YCR063W
545,YCR065W
546,YCR066W
547,YCR067C
548,YCR068W
549,YCR069W
550,YCR071C
551,YCR073C
552,YCR073W-A
553,YCR075C
554,YCR075W-A
555,YCR077C
556,YCR079W
557,YCR081W
558,YCR082W
559,YCR083W
560,YCR084C
561,YCR085W
562,YCR086W
563,YCR087C-A
564,YCR087W
565,YCR088W
566,YCR089W
567,YCR090C
568,YCR091W
569,YCR092C
570,YCR094W
571,YCR095C
572,YCR095W-A
573,YCR098C
574,YCR099C
575,YCR100C
576,YCR101C
577,YCR102C
578,YCR102W-A
579,YCR105W
580,YCR106W
581,YCR107W
582,YDL001W
583,YDL002C
584,YDL006W
585,YDL009C
586,YDL010W
587,YDL011C
588,YDL012C
589,YDL013W
590,YDL018C
591,YDL019C
592,YDL020C
593,YDL021W
594,YDL022W
595,YDL023C
596,YDL024C
597,YDL025C
598,YDL026W
599,YDL027C
600,YDL032W
601,YDL033C
602,YDL034W
603,YDL035C
604,YDL036C
605,YDL037C
606,YDL038C
607,YDL039C
608,YDL040C
609,YDL041W
610,YDL042C
611,YDL044C
612,YDL045W-A
613,YDL046W
614,YDL047W
615,YDL048C
616,YDL049C
617,YDL050C
618,YDL051W
619,YDL052C
620,YDL053C
621,YDL054C
622,YDL056W
623,YDL057W
624,YDL059C
625,YDL061C
626,YDL062W
627,YDL063C
628,YDL065C
629,YDL066W
630,YDL067C
631,YDL068W
632,YDL069C
633,YDL070W
634,YDL071C
635,YDL072C
636,YDL073W
637,YDL074C
638,YDL075W
639,YDL076C
640,YDL077C
641,YDL079C
642,YDL080C
643,YDL081C
644,YDL082W
645,YDL083C
646,YDL085C-A
647,YDL085W
648,YDL086W
649,YDL088C
650,YDL089W
651,YDL090C
652,YDL091C
653,YDL093W
654,YDL094C
655,YDL095W
656,YDL096C
657,YDL099W
658,YDL100C
659,YDL101C
660,YDL104C
661,YDL106C
662,YDL107W
663,YDL109C
664,YDL110C
665,YDL112W
666,YDL113C
667,YDL114W
668,YDL115C
669,YDL116W
670,YDL117W
671,YDL118W
672,YDL119C
673,YDL121C
674,YDL122W
675,YDL123W
676,YDL124W
677,YDL125C
678,YDL127W
679,YDL128W
680,YDL129W
681,YDL130W
682,YDL130W-A
683,YDL131W
684,YDL133C-A
685,YDL133W
686,YDL134C
687,YDL134C-A
688,YDL135C
689,YDL136W
690,YDL137W
691,YDL138W
692,YDL142C
693,YDL144C
694,YDL146W
695,YDL149W
696,YDL151C
697,YDL154W
698,YDL155W
699,YDL156W
700,YDL157C
701,YDL159W
702,YDL159W-A
703,YDL160C
704,YDL160C-A
705,YDL161W
706,YDL162C
707,YDL167C
708,YDL168W
709,YDL169C
710,YDL170W
711,YDL171C
712,YDL172C
713,YDL173W
714,YDL174C
715,YDL175C
716,YDL176W
717,YDL177C
718,YDL178W
719,YDL179W
720,YDL180W
721,YDL181W
722,YDL182W
723,YDL183C
724,YDL184C
725,YDL185W
726,YDL186W
727,YDL187C
728,YDL188C
729,YDL189W
730,YDL190C
731,YDL191W
732,YDL192W
733,YDL194W
734,YDL197C
735,YDL198C
736,YDL199C
737,YDL200C
738,YDL201W
739,YDL202W
740,YDL203C
741,YDL204W
742,YDL206W
743,YDL210W
744,YDL211C
745,YDL213C
746,YDL214C
747,YDL215C
748,YDL216C
749,YDL218W
750,YDL219W
751,YDL222C
752,YDL223C
753,YDL224C
754,YDL225W
755,YDL226C
756,YDL227C
757,YDL229W
758,YDL230W
759,YDL231C
760,YDL232W
761,YDL233W
762,YDL234C
763,YDL236W
764,YDL237W
765,YDL238C
766,YDL239C
767,YDL241W
768,YDL242W
769,YDL243C
770,YDR001C
771,YDR003W
772,YDR003W-A
773,YDR004W
774,YDR005C
775,YDR006C
776,YDR007W
777,YDR008C
778,YDR009W
779,YDR010C
780,YDR011W
781,YDR014W
782,YDR015C
783,YDR017C
784,YDR018C
785,YDR019C
786,YDR020C
787,YDR022C
788,YDR024W
789,YDR025W
790,YDR026C
791,YDR027C
792,YDR028C
793,YDR029W
794,YDR030C
795,YDR031W
796,YDR032C
797,YDR033W
798,YDR034C
799,YDR034W-B
800,YDR035W
801,YDR036C
802,YDR042C
803,YDR043C
804,YDR046C
805,YDR048C
806,YDR049W
807,YDR050C
808,YDR051C
809,YDR055W
810,YDR056C
811,YDR057W
812,YDR058C
813,YDR059C
814,YDR061W
815,YDR063W
816,YDR065W
817,YDR066C
818,YDR067C
819,YDR068W
820,YDR069C
821,YDR070C
822,YDR071C
823,YDR072C
824,YDR073W
825,YDR074W
826,YDR075W
827,YDR076W
828,YDR077W
829,YDR078C
830,YDR079C-A
831,YDR079W
832,YDR080W
833,YDR083W
834,YDR084C
835,YDR085C
836,YDR089W
837,YDR090C
838,YDR092W
839,YDR093W
840,YDR094W
841,YDR095C
842,YDR096W
843,YDR097C
844,YDR098C
845,YDR099W
846,YDR100W
847,YDR101C
848,YDR102C
849,YDR103W
850,YDR104C
851,YDR105C
852,YDR107C
853,YDR108W
854,YDR109C
855,YDR110W
856,YDR111C
857,YDR112W
858,YDR114C
859,YDR115W
860,YDR116C
861,YDR117C
862,YDR119W
863,YDR120C
864,YDR121W
865,YDR122W
866,YDR123C
867,YDR124W
868,YDR125C
869,YDR126W
870,YDR127W
871,YDR128W
872,YDR129C
873,YDR130C
874,YDR131C
875,YDR132C
876,YDR133C
877,YDR134C
878,YDR135C
879,YDR136C
880,YDR137W
881,YDR138W
882,YDR139C
883,YDR140W
884,YDR142C
885,YDR143C
886,YDR144C
887,YDR146C
888,YDR147W
889,YDR148C
890,YDR149C
891,YDR150W
892,YDR151C
893,YDR152W
894,YDR153C
895,YDR154C
896,YDR155C
897,YDR156W
898,YDR157W
899,YDR158W
900,YDR159W
901,YDR161W
902,YDR162C
903,YDR163W
904,YDR165W
905,YDR169C
906,YDR169C-A
907,YDR171W
908,YDR173C
909,YDR174W
910,YDR175C
911,YDR176W
912,YDR178W
913,YDR179C
914,YDR179W-A
915,YDR181C
916,YDR182W-A
917,YDR183W
918,YDR184C
919,YDR185C
920,YDR186C
921,YDR191W
922,YDR192C
923,YDR193W
924,YDR194C
925,YDR194W-A
926,YDR195W
927,YDR197W
928,YDR198C
929,YDR199W
930,YDR200C
931,YDR202C
932,YDR203W
933,YDR204W
934,YDR205W
935,YDR206W
936,YDR207C
937,YDR209C
938,YDR210W
939,YDR213W
940,YDR214W
941,YDR215C
942,YDR216W
943,YDR217C
944,YDR218C
945,YDR219C
946,YDR220C
947,YDR221W
948,YDR222W
949,YDR223W
950,YDR225W
951,YDR226W
952,YDR227W
953,YDR229W
954,YDR230W
955,YDR231C
956,YDR233C
957,YDR234W
958,YDR237W
959,YDR239C
960,YDR241W
961,YDR242W
962,YDR244W
963,YDR245W
964,YDR246W-A
965,YDR247W
966,YDR248C
967,YDR249C
968,YDR250C
969,YDR251W
970,YDR252W
971,YDR253C
972,YDR254W
973,YDR255C
974,YDR256C
975,YDR257C
976,YDR258C
977,YDR259C
978,YDR260C
979,YDR261C
980,YDR262W
981,YDR263C
982,YDR264C
983,YDR265W
984,YDR266C
985,YDR268W
986,YDR269C
987,YDR270W
988,YDR271C
989,YDR272W
990,YDR273W
991,YDR274C
992,YDR275W
993,YDR276C
994,YDR277C
995,YDR278C
996,YDR279W
997,YDR281C
998,YDR282C
999,YDR283C
1000,YDR284C
1001,YDR285W
1002,YDR286C
1003,YDR287W
1004,YDR289C
1005,YDR290W
1006,YDR291W
1007,YDR293C
1008,YDR294C
1009,YDR295C
1010,YDR296W
1011,YDR297W
1012,YDR298C
1013,YDR304C
1014,YDR305C
1015,YDR306C
1016,YDR307W
1017,YDR309C
1018,YDR310C
1019,YDR312W
1020,YDR313C
1021,YDR314C
1022,YDR315C
1023,YDR316W
1024,YDR317W
1025,YDR318W
1026,YDR319C
1027,YDR320C
1028,YDR321W
1029,YDR322C-A
1030,YDR322W
1031,YDR323C
1032,YDR326C
1033,YDR329C
1034,YDR330W
1035,YDR332W
1036,YDR333C
1037,YDR334W
1038,YDR335W
1039,YDR336W
1040,YDR337W
1041,YDR338C
1042,YDR340W
1043,YDR344C
1044,YDR345C
1045,YDR346C
1046,YDR347W
1047,YDR348C
1048,YDR349C
1049,YDR350C
1050,YDR351W
1051,YDR352W
1052,YDR354W
1053,YDR357C
1054,YDR358W
1055,YDR359C
1056,YDR360W
1057,YDR363W
1058,YDR363W-A
1059,YDR364C
1060,YDR368W
1061,YDR369C
1062,YDR370C
1063,YDR371W
1064,YDR372C
1065,YDR374C
1066,YDR375C
1067,YDR377W
1068,YDR378C
1069,YDR379C-A
1070,YDR379W
1071,YDR380W
1072,YDR382W
1073,YDR383C
1074,YDR384C
1075,YDR385W
1076,YDR386W
1077,YDR387C
1078,YDR388W
1079,YDR389W
1080,YDR391C
1081,YDR392W
1082,YDR393W
1083,YDR395W
1084,YDR399W
1085,YDR400W
1086,YDR401W
1087,YDR402C
1088,YDR403W
1089,YDR405W
1090,YDR406W
1091,YDR409W
1092,YDR410C
1093,YDR411C
1094,YDR414C
1095,YDR415C
1096,YDR417C
1097,YDR418W
1098,YDR419W
1099,YDR420W
1100,YDR421W
1101,YDR422C
1102,YDR423C
1103,YDR424C
1104,YDR425W
1105,YDR426C
1106,YDR428C
1107,YDR430C
1108,YDR431W
1109,YDR432W
1110,YDR433W
1111,YDR435C
1112,YDR436W
1113,YDR438W
1114,YDR439W
1115,YDR440W
1116,YDR441C
1117,YDR442W
1118,YDR443C
1119,YDR444W
1120,YDR445C
1121,YDR446W
1122,YDR447C
1123,YDR448W
1124,YDR450W
1125,YDR451C
1126,YDR452W
1127,YDR453C
1128,YDR455C
1129,YDR456W
1130,YDR457W
1131,YDR458C
1132,YDR459C
1133,YDR461W
1134,YDR462W
1135,YDR463W
1136,YDR465C
1137,YDR466W
1138,YDR467C
1139,YDR469W
1140,YDR470C
1141,YDR471W
1142,YDR474C
1143,YDR475C
1144,YDR476C
1145,YDR477W
1146,YDR479C
1147,YDR480W
1148,YDR481C
1149,YDR482C
